"word1","word2","n"
"anti","china",21
"conspiracy","theories",21
"democratic","candidates",21
"democrats","trump",21
"ditch","trump",21
"fox","host",21
"greenland","realdonaldtrump",21
"he’s","exploring",21
"human","rights",21
"jeffrey","epstein",21
"jew","voting",21
"jews","fleeing",21
"jimkilbane","realdonaldtrump",21
"loving","neo",21
"party","voters",21
"trump","attacks",21
"trump","cnn",21
"trump","don’t",21
"trump","gop",21
"trump","lost",21
"trump","regime",21
"trump","that’s",21
"trump","voter",21
"15","charts",20
"863_458","libsinamerica",20
"american","president",20
"andyostroy","realdonaldtrump",20
"ayannapressley","ericswalwell",20
"bans","women",20
"deal","trump",20
"ericswalwell","tulsigabbard",20
"fleeing","nazi",20
"george","conway",20
"giving","trump",20
"gop","trump",20
"host","shep",20
"israel","trump",20
"jewish","democratic",20
"jill","biden",20
"jim_jordan","repmarkmeadows",20
"jkbjournalist","donlemon",20
"kellyanne","conway",20
"mass","shooting",20
"mattgaetz","aoc",20
"mitch","mcconnell",20
"news","media",20
"pay","attention",20
"president","realdonaldtrump",20
"realdonaldtrump","i’m",20
"smith","tears",20
"stein","voters",20
"thebradfordfile","realdonaldtrump",20
"told","reporters",20
"trump","cult",20
"trump","decries",20
"trump","hate",20
"trump","lied",20
"trump","obama",20
"trump","rallies",20
"trump","winning",20
"trump’s","collusion",20
"tulsigabbard","jim_jordan",20
"world","leaders",20
"absurd","idea",19
"african","americans",19
"amp","tlaib",19
"cabin","republicans",19
"called","trump",19
"cnn","msnbc",19
"democratic","presidential",19
"disloyal","jews",19
"fake","trump",19
"gop","ditch",19
"gun","background",19
"held","accountable",19
"hey","donald",19
"hillary","lost",19
"jrubinblogger","neeratanden",19
"law","enforcement",19
"lindseygrahamsc","seanhanity",19
"maggienyt","gtconway3d",19
"mccain","operative",19
"melania","trump",19
"money","laundering",19
"operative","warns",19
"presidential","candidate",19
"pro","life",19
"proudly","disloyal",19
"rashidatlaib","realdonaldtrump",19
"real","trump",19
"realdonaldtrump","whitehouse",19
"robreiner","trump",19
"russian","collusion",19
"shit","trump",19
"support","globalism",19
"support","president",19
"term","detention",19
"trump","baby",19
"trump","fans",19
"trump","hasn’t",19
"trump","kashmir",19
"trump","leaves",19
"trump","slams",19
"trump’s","visit",19
